2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3203 'Ensure Security Hotspots have status TO_REVIEW': success | time=9ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3204 'Rename table 'PROJECTS' to 'COMPONENTS''...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3204 'Rename table 'PROJECTS' to 'COMPONENTS'': success | time=5ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3205 'Add PROJECTS table'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3205 'Add PROJECTS table': success | time=37ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3206 'Populate PROJECTS table'...
2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 projects processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3206 'Populate PROJECTS table': success | time=12ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3207 'Drop 'TAGS' column from COMPONENTS table'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3207 'Drop 'TAGS' column from COMPONENTS table': success | time=49ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3208 'Remove old Security Review Rating measures'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3208 'Remove old Security Review Rating measures': success | time=5ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3209 'Create ALM_PATS table'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3209 'Create ALM_PATS table': success | time=9ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3210 'Add index on ALM_slug'...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3210 'Add index on ALM_slug': success | time=8ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3211 'Delete conditions using 'security_hotspots' and 'new_security_hotspots' metrics'...
2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3211 'Delete conditions using 'security_hotspots' and 'new_security_hotspots' metrics': success | time=8ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3300 'Add 'summary_comment_enabled' boolean column to 'project_alm_settings''...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3300 'Add 'summary_comment_enabled' boolean column to 'project_alm_settings'': success | time=15ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3301 'Enable 'summary_comment_enabled' for GitHub based projects'...
2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3301 'Enable 'summary_comment_enabled' for GitHub based projects': success | time=7ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3302 'Add 'component_uuid' column to 'properties''...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3302 'Add 'component_uuid' column to 'properties'': success | time=9ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3303 'Migrate 'resource_id' to 'component_uuid' in 'properties''...
2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3303 'Migrate 'resource_id' to 'component_uuid' in 'properties'': success | time=10ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3304 'Remove column 'resource_id' in 'properties''...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3304 'Remove column 'resource_id' in 'properties'': success | time=8ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3305 'Add 'component_uuid' column to 'group_roles''...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3305 'Add 'component_uuid' column to 'group_roles'': success | time=13ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3306 'Migrate 'resource_id' to 'component_uuid' in 'group_roles''...
2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3306 'Migrate 'resource_id' to 'component_uuid' in 'group_roles'': success | time=12ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3307 'Remove column 'resource_id' in 'group_roles''...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3307 'Remove column 'resource_id' in 'group_roles'': success | time=12ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3308 'Add 'component_uuid' column to 'user_roles''...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3308 'Add 'component_uuid' column to 'user_roles'': success | time=10ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3309 'Migrate 'resource_id' to 'component_uuid' in 'user_roles''...
2020.07.08 10:01:00 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3309 'Migrate 'resource_id' to 'component_uuid' in 'user_roles'': success | time=17ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3310 'Remove column 'resource_id' in 'user_roles''...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3310 'Remove column 'resource_id' in 'user_roles'': success | time=7ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3311 'Remove column 'id' in 'components''...
2020.07.08 10:01:00 INFO  web[][DbMigrations] #3311 'Remove column 'id' in 'components'': success | time=16ms
2020.07.08 10:01:00 INFO  web[][DbMigrations] Executed DB migrations: success | time=878ms
2020.07.08 10:01:00 INFO  web[][o.s.s.p.Platform] Database has been automatically updated
2020.07.08 10:01:00 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@5a967cab [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/components/update_key, ...]}]
2020.07.08 10:01:00 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2020.07.08 10:01:02 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2020.07.08 10:01:03 INFO  web[][o.s.s.e.IndexCreator] Create index [metadatas]
2020.07.08 10:01:03 INFO  web[][o.s.s.e.IndexCreator] Create type metadatas/metadata
2020.07.08 10:01:04 INFO  web[][o.s.s.e.IndexCreator] Create index [components]
2020.07.08 10:01:05 INFO  web[][o.s.s.e.IndexCreator] Create type components/auth
2020.07.08 10:01:05 INFO  web[][o.s.s.e.IndexCreator] Create index [projectmeasures]
2020.07.08 10:01:06 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/auth
2020.07.08 10:01:06 INFO  web[][o.s.s.e.IndexCreator] Create index [rules]
2020.07.08 10:01:07 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2020.07.08 10:01:07 INFO  web[][o.s.s.e.IndexCreator] Create index [issues]
2020.07.08 10:01:08 INFO  web[][o.s.s.e.IndexCreator] Create type issues/auth
2020.07.08 10:01:08 INFO  web[][o.s.s.e.IndexCreator] Create index [users]
2020.07.08 10:01:08 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2020.07.08 10:01:09 INFO  web[][o.s.s.e.IndexCreator] Create index [views]
2020.07.08 10:01:10 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2020.07.08 10:01:10 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AXMuuswXQxSe0PHI1WFU
2020.07.08 10:01:10 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2020.07.08 10:01:10 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2020.07.08 10:01:10 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2020.07.08 10:01:10 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2020.07.08 10:01:10 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2020.07.08 10:01:10 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2020.07.08 10:01:10 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2020.07.08 10:01:10 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2020.07.08 10:01:10 INFO  web[][o.s.s.q.RegisterQualityGates] Built-in quality gate's conditions of [Sonar way] has been updated
2020.07.08 10:01:10 INFO  web[][o.s.s.r.RegisterRules] Register rules
2020.07.08 10:01:25 WARN  web[][o.s.s.r.i.RuleIndexer] Rule java:S2647 with CWEs '311, 522' maps to multiple SQ Security Categories: auth, insecure-conf
2020.07.08 10:01:26 WARN  web[][o.s.s.r.i.RuleIndexer] Rule java:S4787 with CWEs '321, 322, 323, 324, 522, 325, 326, 327' maps to multiple SQ Security Categories: weak-cryptography, auth
2020.07.08 10:01:28 WARN  web[][o.s.s.r.i.RuleIndexer] Rule csharpsquid:S4787 with CWEs '321, 322, 323, 324, 522, 325, 326, 327' maps to multiple SQ Security Categories: weak-cryptography, auth
2020.07.08 10:01:29 WARN  web[][o.s.s.r.i.RuleIndexer] Rule typescript:S4787 with CWEs '321, 322, 323, 324, 522, 325, 326, 327' maps to multiple SQ Security Categories: weak-cryptography, auth
2020.07.08 10:01:29 WARN  web[][o.s.s.r.i.RuleIndexer] Rule typescript:S1523 with CWEs '95, 470' maps to multiple SQ Security Categories: rce, object-injection
2020.07.08 10:01:30 WARN  web[][o.s.s.r.i.RuleIndexer] Rule vbnet:S4787 with CWEs '321, 322, 323, 324, 522, 325, 326, 327' maps to multiple SQ Security Categories: weak-cryptography, auth
2020.07.08 10:01:31 WARN  web[][o.s.s.r.i.RuleIndexer] Rule python:S4787 with CWEs '321, 322, 323, 324, 522, 325, 326, 327' maps to multiple SQ Security Categories: weak-cryptography, auth
2020.07.08 10:01:32 WARN  web[][o.s.s.r.i.RuleIndexer] Rule javascript:S1523 with CWEs '95, 470' maps to multiple SQ Security Categories: rce, object-injection
2020.07.08 10:01:32 WARN  web[][o.s.s.r.i.RuleIndexer] Rule javascript:S4787 with CWEs '321, 322, 323, 324, 522, 325, 326, 327' maps to multiple SQ Security Categories: weak-cryptography, auth
2020.07.08 10:01:34 WARN  web[][o.s.s.r.i.RuleIndexer] Rule php:S4787 with CWEs '321, 322, 323, 324, 522, 325, 326, 327' maps to multiple SQ Security Categories: weak-cryptography, auth
2020.07.08 10:01:34 WARN  web[][o.s.s.r.i.RuleIndexer] Rule php:S1523 with CWEs '95, 470' maps to multiple SQ Security Categories: rce, object-injection
2020.07.08 10:01:38 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2020.07.08 10:01:39 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2020.07.08 10:01:39 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile css/Sonar way
2020.07.08 10:01:40 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile scala/Sonar way
2020.07.08 10:01:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile jsp/Sonar way
2020.07.08 10:01:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile kotlin/Sonar way
2020.07.08 10:01:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile go/Sonar way
2020.07.08 10:01:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way
2020.07.08 10:01:41 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way Recommended
2020.07.08 10:01:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile py/Sonar way
2020.07.08 10:01:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ruby/Sonar way
2020.07.08 10:01:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile cs/Sonar way
2020.07.08 10:01:42 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile java/Sonar way
2020.07.08 10:01:43 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile web/Sonar way
2020.07.08 10:01:43 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile xml/Sonar way
2020.07.08 10:01:43 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile flex/Sonar way
2020.07.08 10:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Sonar way
2020.07.08 10:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/PSR-2
2020.07.08 10:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Drupal
2020.07.08 10:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile vbnet/Sonar way
2020.07.08 10:01:44 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way
2020.07.08 10:01:45 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way recommended
2020.07.08 10:01:45 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2020.07.08 10:01:45 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2020.07.08 10:01:45 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@3491828a [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2020.07.08 10:01:45 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@13888174 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2020.07.08 10:01:45 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@1b56ed2d [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2020.07.08 10:01:45 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@7f86d0ab [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2020.07.08 10:01:45 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@5687c1d0 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2020.07.08 10:01:45 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@249b673a [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
